,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
6393,1438857719839068162,1438857719839068162,2021-09-17 09:29:47 Eastern Daylight Time,2021-09-17,09:29:47,-400,1250261273272606720,myavsmya,myavsmya,,I know ppl who are running to get iPhone 13 as they have done for every other new iPhone release and like … for why .?,en,[],[],[],0,0,1,[],[],https://twitter.com/myavsmya/status/1438857719839068162,False,,0,,,,,,,,[],,,,
6394,1438857703552536585,1438857703552536585,2021-09-17 09:29:43 Eastern Daylight Time,2021-09-17,09:29:43,-400,1089719767483658241,pineasaurus,ᗰᗩTT 🍄,,"Can’t sleep, so I preordered my new iPhone 13, because why not?! 🤪",en,[],[],[],0,0,1,[],[],https://twitter.com/pineasaurus/status/1438857703552536585,False,,0,,,,,,,,[],,,,
6396,1438857685680726016,1438857685680726016,2021-09-17 09:29:39 Eastern Daylight Time,2021-09-17,09:29:39,-400,101777798,jerryluti,🇬🇭Jerry Sarpong,,The easiest way to other iPhone 13 is to use the App.  https://t.co/JtJ3HB7wDx,en,[],[],['https://pbs.twimg.com/media/E_fZb4dWQAEVdd9.jpg'],0,0,1,[],[],https://twitter.com/jerryluti/status/1438857685680726016,False,,1,https://pbs.twimg.com/media/E_fZb4dWQAEVdd9.jpg,,,,,,,[],,,,
6405,1438857634468225025,1438857634468225025,2021-09-17 09:29:27 Eastern Daylight Time,2021-09-17,09:29:27,-400,748803530,garethgazmclean,Gareth Mclean,,"@MyiStoreSA I’m curious… If you order your iPhone 13 online on the 8th of October, when will you receive it?",en,[],[],[],0,0,0,[],[],https://twitter.com/GarethGazMclean/status/1438857634468225025,False,,0,,,,,,,,[],,,,
6408,1438857585617158145,1438857585617158145,2021-09-17 09:29:15 Eastern Daylight Time,2021-09-17,09:29:15,-400,948213440518262784,peetee3000,Pt3k,,Can somebody tell me what the iPhone 13 could do that the 12 can’t ?,en,[],[],[],1,0,0,[],[],https://twitter.com/Peetee3000/status/1438857585617158145,False,,0,,,,,,,,[],,,,
6409,1438857584228904962,1438857584228904962,2021-09-17 09:29:15 Eastern Daylight Time,2021-09-17,09:29:15,-400,795162457669062657,mi_nombre_mitch,ItsmeAnyango,,"Just watched the introducing iphone 13 Pro video and all that wind, those Libra colors👀.Mercury rx in ♎️(air sign). Phone issues will be the users fault. They also had to make the theme space. Wait and hear iphone 13 Pro stories, you'll refer to this.",en,[],[],[],0,0,1,[],[],https://twitter.com/Mi_nombre_Mitch/status/1438857584228904962,False,https://twitter.com/Mi_nombre_Mitch/status/1438815060244189186,0,,,,,,,,[],,,,
6410,1438857582362435592,1438857582362435592,2021-09-17 09:29:14 Eastern Daylight Time,2021-09-17,09:29:14,-400,779007929794134018,indylife,Independent Lifestyle,,Apple’s website comes back to life and iPhone 13 pre-orders open  https://t.co/iVnUssqjrU,en,[],['https://www.independent.co.uk/life-style/gadgets-and-tech/iphone-13-preorder-apple-website-down-b1922095.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1631883003'],[],0,0,0,[],[],https://twitter.com/IndyLife/status/1438857582362435592,False,,0,,,,,,,,[],,,,
6412,1438857571830534145,1438857571830534145,2021-09-17 09:29:12 Eastern Daylight Time,2021-09-17,09:29:12,-400,1031127152643768320,panashehove4,Uncle 💳Mbinga 💸,,"So this guy (who has a perfectly good IPhone 12 Pro Max) pre-ordered the iPhone 13 Pro Max , all during a lecture",en,[],[],[],1,0,9,[],[],https://twitter.com/PanasheHove4/status/1438857571830534145,False,,0,,,,,,,,[],,,,
6413,1438857570152759311,1438857570152759311,2021-09-17 09:29:12 Eastern Daylight Time,2021-09-17,09:29:12,-400,1346971149729734656,insightink901,Cesar insight ink,,Then how about not only Apple Card charged me for 2 iPhone 13 pro max instead of one lol but I’m looking at my account like “ bah empty” &amp; “no orders to look at”  https://t.co/3WycGKSzLw,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/E_fZVJZXoAI1RVn.jpg'],0,0,0,[],[],https://twitter.com/insightink901/status/1438857570152759311,False,,1,https://pbs.twimg.com/tweet_video_thumb/E_fZVJZXoAI1RVn.jpg,,,,,,,[],,,,
6414,1438857557817237505,1438857557817237505,2021-09-17 09:29:09 Eastern Daylight Time,2021-09-17,09:29:09,-400,126432341,reygza,Rey G,,"iPhone 13 Pro Max Sierra Blue 256GB ordered for pickup on 9/24. Still got launch day, but couldn’t use AppleCard and no 3% cash back 😊😢",en,[],[],[],0,0,2,[],[],https://twitter.com/reygza/status/1438857557817237505,False,,0,,,,,,,,[],,,,
6415,1438857553388179456,1438857553388179456,2021-09-17 09:29:08 Eastern Daylight Time,2021-09-17,09:29:08,-400,15980703,johnnyxhuynh,Johnny Huynh,,"@AppleSupport Hello! If I am picking up an iPhone 13 in-store and don’t have the previous iPhone 12 being replaced (family member out of town), do I still have the option to mail in the previous iPhone 12 within 14 days? Thank you so much!",en,[],[],[],2,0,1,[],[],https://twitter.com/johnnyxhuynh/status/1438857553388179456,False,,0,,,,,,,,[],,,,
6417,1438857544529809409,1438857544529809409,2021-09-17 09:29:05 Eastern Daylight Time,2021-09-17,09:29:05,-400,801900606910844928,securitydefence,Security & Defence,,Bemz Slim Case for iPhone 13 Mini (Dual Layer Shockproof Protection Cover) and Keychain Touch Tool - Black  More:  https://t.co/6TMeP0qtuH  #Apple #BasicCases #BemzDepot #Kit  https://t.co/JFgnrnLjvG,en,[],['https://us.shopmatrix.net/l/cpt'],['https://pbs.twimg.com/media/E_fZT8FWUAMVBn7.jpg'],0,0,0,"['apple', 'basiccases', 'bemzdepot', 'kit']",[],https://twitter.com/securitydefence/status/1438857544529809409,False,,1,https://pbs.twimg.com/media/E_fZT8FWUAMVBn7.jpg,,,,,,,[],,,,
